year,value,anomaly,month,state,type
2000,-2.97,-2.99,01,AZ,drought
2001,1.68,1.66,01,AZ,drought
2002,-2.69,-2.71,01,AZ,drought
2003,-4.68,-4.70,01,AZ,drought
2004,-3.47,-3.49,01,AZ,drought
2005,2.92,2.90,01,AZ,drought
2006,-2.87,-2.89,01,AZ,drought
2007,-3.03,-3.05,01,AZ,drought
2008,-2.07,-2.09,01,AZ,drought
2009,-1.43,-1.45,01,AZ,drought
2010,1.59,1.57,01,AZ,drought
2011,-1.39,-1.41,01,AZ,drought
2012,-2.67,-2.69,01,AZ,drought
2013,-2.82,-2.84,01,AZ,drought
2014,-2.25,-2.27,01,AZ,drought
2015,-1.78,-1.80,01,AZ,drought
2016,0,-0.02,01,AZ,drought
2000,-3.4,-3.51,02,AZ,drought
2001,1.55,1.44,02,AZ,drought
2002,-3.27,-3.38,02,AZ,drought
2003,-3.51,-3.62,02,AZ,drought
2004,-3.12,-3.23,02,AZ,drought
2005,4.34,4.23,02,AZ,drought
2006,-3.64,-3.75,02,AZ,drought
2007,-3.24,-3.35,02,AZ,drought
2008,-1.64,-1.75,02,AZ,drought
2009,-1.42,-1.53,02,AZ,drought
2010,1.88,1.77,02,AZ,drought
2011,-1.24,-1.35,02,AZ,drought
2012,-2.94,-3.05,02,AZ,drought
2013,-2.79,-2.90,02,AZ,drought
2014,-3.06,-3.17,02,AZ,drought
2015,-2.19,-2.30,02,AZ,drought
2016,-1.05,-1.16,02,AZ,drought
2000,-2.97,-3.11,03,AZ,drought
2001,1.33,1.19,03,AZ,drought
2002,-3.76,-3.90,03,AZ,drought
2003,-3.18,-3.32,03,AZ,drought
2004,-3.55,-3.69,03,AZ,drought
2005,3.95,3.81,03,AZ,drought
2006,-3.26,-3.40,03,AZ,drought
2007,-3.5,-3.64,03,AZ,drought
2008,-2.1,-2.24,03,AZ,drought
2009,-1.98,-2.12,03,AZ,drought
2010,1.81,1.67,03,AZ,drought
2011,-1.8,-1.94,03,AZ,drought
2012,-3.11,-3.25,03,AZ,drought
2013,-3.08,-3.22,03,AZ,drought
2014,-3.4,-3.54,03,AZ,drought
2015,-2.41,-2.55,03,AZ,drought
2016,-2.4,-2.54,03,AZ,drought
2000,-3.53,-3.71,04,AZ,drought
2001,1.62,1.44,04,AZ,drought
2002,-4.54,-4.72,04,AZ,drought
2003,-2.9,-3.08,04,AZ,drought
2004,-3.12,-3.30,04,AZ,drought
2005,4.17,3.99,04,AZ,drought
2006,-3.55,-3.73,04,AZ,drought
2007,-4.06,-4.24,04,AZ,drought
2008,-2.29,-2.47,04,AZ,drought
2009,-2.37,-2.55,04,AZ,drought
2010,1.8,1.62,04,AZ,drought
2011,-2.29,-2.47,04,AZ,drought
2012,-3.67,-3.85,04,AZ,drought
2013,-3.46,-3.64,04,AZ,drought
2014,-3.96,-4.14,04,AZ,drought
2015,-2.69,-2.87,04,AZ,drought
2000,-4.35,-4.56,05,AZ,drought
2001,1.56,1.35,05,AZ,drought
2002,-5.05,-5.26,05,AZ,drought
2003,-3.22,-3.43,05,AZ,drought
2004,-3.67,-3.88,05,AZ,drought
2005,5.09,4.88,05,AZ,drought
2006,-4.28,-4.49,05,AZ,drought
2007,-4.47,-4.68,05,AZ,drought
2008,-1.63,-1.84,05,AZ,drought
2009,-2.44,-2.65,05,AZ,drought
2010,2.03,1.82,05,AZ,drought
2011,-2.54,-2.75,05,AZ,drought
2012,-4.24,-4.45,05,AZ,drought
2013,-3.69,-3.90,05,AZ,drought
2014,-4.48,-4.69,05,AZ,drought
2015,-2.17,-2.38,05,AZ,drought
2000,-4.31,-4.58,06,AZ,drought
2001,-.21,-0.48,06,AZ,drought
2002,-5.61,-5.88,06,AZ,drought
2003,-3.58,-3.85,06,AZ,drought
2004,-4.07,-4.34,06,AZ,drought
2005,5.43,5.16,06,AZ,drought
2006,-4.65,-4.92,06,AZ,drought
2007,-4.94,-5.21,06,AZ,drought
2008,-1.3,-1.57,06,AZ,drought
2009,-2.58,-2.85,06,AZ,drought
2010,2.32,2.05,06,AZ,drought
2011,-3.09,-3.36,06,AZ,drought
2012,-4.75,-5.02,06,AZ,drought
2013,-4.07,-4.34,06,AZ,drought
2014,-5.06,-5.33,06,AZ,drought
2015,-1.84,-2.11,06,AZ,drought
2000,-5.14,-5.49,07,AZ,drought
2001,-.5,-0.85,07,AZ,drought
2002,-5.67,-6.02,07,AZ,drought
2003,-3.93,-4.28,07,AZ,drought
2004,-4.3,-4.65,07,AZ,drought
2005,-.49,-0.84,07,AZ,drought
2006,-3.77,-4.12,07,AZ,drought
2007,-4.21,-4.56,07,AZ,drought
2008,-.75,-1.10,07,AZ,drought
2009,-3.11,-3.46,07,AZ,drought
2010,2.29,1.94,07,AZ,drought
2011,-2.91,-3.26,07,AZ,drought
2012,-3.71,-4.06,07,AZ,drought
2013,-3.01,-3.36,07,AZ,drought
2014,-4.64,-4.99,07,AZ,drought
2015,-1.54,-1.89,07,AZ,drought
2000,-4.48,-4.74,08,AZ,drought
2001,-.6,-0.86,08,AZ,drought
2002,-6.2,-6.46,08,AZ,drought
2003,-3.88,-4.14,08,AZ,drought
2004,-4.38,-4.64,08,AZ,drought
2005,-.17,-0.43,08,AZ,drought
2006,-3.49,-3.75,08,AZ,drought
2007,-4.1,-4.36,08,AZ,drought
2008,-.61,-0.87,08,AZ,drought
2009,-4.05,-4.31,08,AZ,drought
2010,-.27,-0.53,08,AZ,drought
2011,-3.48,-3.74,08,AZ,drought
2012,-3.38,-3.64,08,AZ,drought
2013,-2.55,-2.81,08,AZ,drought
2014,-3.33,-3.59,08,AZ,drought
2015,-1.53,-1.79,08,AZ,drought
2000,-5.01,-5.23,09,AZ,drought
2001,-1.39,-1.61,09,AZ,drought
2002,-5.07,-5.29,09,AZ,drought
2003,-3.7,-3.92,09,AZ,drought
2004,.32,0.10,09,AZ,drought
2005,-.87,-1.09,09,AZ,drought
2006,-2.86,-3.08,09,AZ,drought
2007,-3.95,-4.17,09,AZ,drought
2008,-1.1,-1.32,09,AZ,drought
2009,-4.16,-4.38,09,AZ,drought
2010,-.89,-1.11,09,AZ,drought
2011,-3.15,-3.37,09,AZ,drought
2012,-3.22,-3.44,09,AZ,drought
2013,-1.74,-1.96,09,AZ,drought
2014,-2,-2.22,09,AZ,drought
2015,-1.36,-1.58,09,AZ,drought
2000,2.19,2.10,10,AZ,drought
2001,-1.81,-1.90,10,AZ,drought
2002,-4.68,-4.77,10,AZ,drought
2003,-4.02,-4.11,10,AZ,drought
2004,1.18,1.09,10,AZ,drought
2005,-.85,-0.94,10,AZ,drought
2006,-2.32,-2.41,10,AZ,drought
2007,-4.24,-4.33,10,AZ,drought
2008,-1.59,-1.68,10,AZ,drought
2009,-4.3,-4.39,10,AZ,drought
2010,-.51,-0.60,10,AZ,drought
2011,-3.11,-3.20,10,AZ,drought
2012,-3.56,-3.65,10,AZ,drought
2013,-2.05,-2.14,10,AZ,drought
2014,-2.23,-2.32,10,AZ,drought
2015,-.58,-0.67,10,AZ,drought
2000,2.23,2.12,11,AZ,drought
2001,-2.22,-2.33,11,AZ,drought
2002,-4.45,-4.56,11,AZ,drought
2003,-3.36,-3.47,11,AZ,drought
2004,1.84,1.73,11,AZ,drought
2005,-1.52,-1.63,11,AZ,drought
2006,-2.84,-2.95,11,AZ,drought
2007,-4.28,-4.39,11,AZ,drought
2008,-1.59,-1.70,11,AZ,drought
2009,-4.56,-4.67,11,AZ,drought
2010,-.92,-1.03,11,AZ,drought
2011,-2.74,-2.85,11,AZ,drought
2012,-3.9,-4.01,11,AZ,drought
2013,-1.16,-1.27,11,AZ,drought
2014,-2.67,-2.78,11,AZ,drought
2015,0,-0.11,11,AZ,drought
2000,1.36,1.31,12,AZ,drought
2001,-2.21,-2.26,12,AZ,drought
2002,-4.21,-4.26,12,AZ,drought
2003,-3.45,-3.50,12,AZ,drought
2004,1.99,1.94,12,AZ,drought
2005,-2.19,-2.24,12,AZ,drought
2006,-3.09,-3.14,12,AZ,drought
2007,-3.12,-3.17,12,AZ,drought
2008,-1.02,-1.07,12,AZ,drought
2009,.06,0.01,12,AZ,drought
2010,-.73,-0.78,12,AZ,drought
2011,-2.2,-2.25,12,AZ,drought
2012,-3.37,-3.42,12,AZ,drought
2013,-1.46,-1.51,12,AZ,drought
2014,-2.33,-2.38,12,AZ,drought
2015,0,-0.05,12,AZ,drought
2000,.28,-0.86,01,AZ,precip
2001,1.7,0.56,01,AZ,precip
2002,.19,-0.95,01,AZ,precip
2003,.32,-0.82,01,AZ,precip
2004,.71,-0.43,01,AZ,precip
2005,2.83,1.69,01,AZ,precip
2006,.13,-1.01,01,AZ,precip
2007,.79,-0.35,01,AZ,precip
2008,1.99,0.85,01,AZ,precip
2009,.52,-0.62,01,AZ,precip
2010,3.41,2.27,01,AZ,precip
2011,.05,-1.09,01,AZ,precip
2012,.26,-0.88,01,AZ,precip
2013,1.3,0.16,01,AZ,precip
2014,.03,-1.11,01,AZ,precip
2015,1.79,0.65,01,AZ,precip
2016,1.42,0.28,01,AZ,precip
2000,.59,-0.56,02,AZ,precip
2001,1,-0.15,02,AZ,precip
2002,.1,-1.05,02,AZ,precip
2003,2.44,1.29,02,AZ,precip
2004,1.07,-0.08,02,AZ,precip
2005,3.35,2.20,02,AZ,precip
2006,.04,-1.11,02,AZ,precip
2007,.56,-0.59,02,AZ,precip
2008,1.19,0.04,02,AZ,precip
2009,1.02,-0.13,02,AZ,precip
2010,1.44,0.29,02,AZ,precip
2011,1.05,-0.10,02,AZ,precip
2012,.43,-0.72,02,AZ,precip
2013,.51,-0.64,02,AZ,precip
2014,.16,-0.99,02,AZ,precip
2015,.64,-0.51,02,AZ,precip
2016,.3,-0.85,02,AZ,precip
2000,1.73,0.61,03,AZ,precip
2001,1.04,-0.08,03,AZ,precip
2002,.22,-0.90,03,AZ,precip
2003,1.07,-0.05,03,AZ,precip
2004,.75,-0.37,03,AZ,precip
2005,.86,-0.26,03,AZ,precip
2006,1.41,0.29,03,AZ,precip
2007,.83,-0.29,03,AZ,precip
2008,.07,-1.05,03,AZ,precip
2009,.17,-0.95,03,AZ,precip
2010,1.03,-0.09,03,AZ,precip
2011,.33,-0.79,03,AZ,precip
2012,.69,-0.43,03,AZ,precip
2013,.57,-0.55,03,AZ,precip
2014,.9,-0.22,03,AZ,precip
2015,1.12,0.00,03,AZ,precip
2016,.12,-1.00,03,AZ,precip
2000,.11,-0.46,04,AZ,precip
2001,.97,0.40,04,AZ,precip
2002,.18,-0.39,04,AZ,precip
2003,.29,-0.28,04,AZ,precip
2004,1.32,0.75,04,AZ,precip
2005,.7,0.13,04,AZ,precip
2006,.24,-0.33,04,AZ,precip
2007,.24,-0.33,04,AZ,precip
2008,.02,-0.55,04,AZ,precip
2009,.29,-0.28,04,AZ,precip
2010,.27,-0.30,04,AZ,precip
2011,.41,-0.16,04,AZ,precip
2012,.32,-0.25,04,AZ,precip
2013,.2,-0.37,04,AZ,precip
2014,.24,-0.33,04,AZ,precip
2015,.42,-0.15,04,AZ,precip
2000,.02,-0.32,05,AZ,precip
2001,.37,0.03,05,AZ,precip
2002,.01,-0.33,05,AZ,precip
2003,.1,-0.24,05,AZ,precip
2004,.01,-0.33,05,AZ,precip
2005,.21,-0.13,05,AZ,precip
2006,.05,-0.29,05,AZ,precip
2007,.3,-0.04,05,AZ,precip
2008,.65,0.31,05,AZ,precip
2009,.74,0.40,05,AZ,precip
2010,.06,-0.28,05,AZ,precip
2011,.28,-0.06,05,AZ,precip
2012,.05,-0.29,05,AZ,precip
2013,.06,-0.28,05,AZ,precip
2014,.07,-0.27,05,AZ,precip
2015,1,0.66,05,AZ,precip
2000,.73,0.44,06,AZ,precip
2001,.24,-0.05,06,AZ,precip
2002,.01,-0.28,06,AZ,precip
