year,value,anomaly,month,state,type
1895,1.88,1.96,01,NV,drought
1896,1.44,1.52,01,NV,drought
1897,.99,1.07,01,NV,drought
1898,-.01,0.07,01,NV,drought
1899,.62,0.70,01,NV,drought
1900,-1.42,-1.34,01,NV,drought
1901,.17,0.25,01,NV,drought
1902,-1.23,-1.15,01,NV,drought
1903,.59,0.67,01,NV,drought
1904,-1.72,-1.64,01,NV,drought
1905,-1.53,-1.45,01,NV,drought
1906,.76,0.84,01,NV,drought
1907,5.24,5.32,01,NV,drought
1908,4.31,4.39,01,NV,drought
1909,2.24,2.32,01,NV,drought
1910,3.12,3.20,01,NV,drought
1911,1.35,1.43,01,NV,drought
1912,-1.58,-1.50,01,NV,drought
1913,-1.07,-0.99,01,NV,drought
1914,3.9,3.98,01,NV,drought
1915,-1.62,-1.54,01,NV,drought
1916,2.23,2.31,01,NV,drought
1917,1.22,1.30,01,NV,drought
1918,-2.5,-2.42,01,NV,drought
1919,-.82,-0.74,01,NV,drought
1920,-2.03,-1.95,01,NV,drought
1921,1.53,1.61,01,NV,drought
1922,1.43,1.51,01,NV,drought
1923,2.75,2.83,01,NV,drought
1924,-1.25,-1.17,01,NV,drought
1925,-3.56,-3.48,01,NV,drought
1926,-1.02,-0.94,01,NV,drought
1927,-3.28,-3.20,01,NV,drought
1928,-1.36,-1.28,01,NV,drought
1929,-3.78,-3.70,01,NV,drought
1930,-3.73,-3.65,01,NV,drought
1931,-2.64,-2.56,01,NV,drought
1932,1.75,1.83,01,NV,drought
1933,-.78,-0.70,01,NV,drought
1934,-3.45,-3.37,01,NV,drought
1935,.39,0.47,01,NV,drought
1936,.19,0.27,01,NV,drought
1937,.97,1.05,01,NV,drought
1938,-.24,-0.16,01,NV,drought
1939,-.4,-0.32,01,NV,drought
1940,.76,0.84,01,NV,drought
1941,1.04,1.12,01,NV,drought
1942,5.51,5.59,01,NV,drought
1943,2.95,3.03,01,NV,drought
1944,1.22,1.30,01,NV,drought
1945,.59,0.67,01,NV,drought
1946,3.68,3.76,01,NV,drought
1947,-.24,-0.16,01,NV,drought
1948,-1.87,-1.79,01,NV,drought
1949,.74,0.82,01,NV,drought
1950,-1.64,-1.56,01,NV,drought
1951,-2.35,-2.27,01,NV,drought
1952,1.92,2.00,01,NV,drought
1953,-1.21,-1.13,01,NV,drought
1954,-3.28,-3.20,01,NV,drought
1955,-3.4,-3.32,01,NV,drought
1956,1.81,1.89,01,NV,drought
1957,-1.54,-1.46,01,NV,drought
1958,.89,0.97,01,NV,drought
1959,-2.24,-2.16,01,NV,drought
1960,-3.93,-3.85,01,NV,drought
1961,-3.09,-3.01,01,NV,drought
1962,-.55,-0.47,01,NV,drought
1963,-2.29,-2.21,01,NV,drought
1964,-.75,-0.67,01,NV,drought
1965,-.07,0.01,01,NV,drought
1966,-.43,-0.35,01,NV,drought
1967,1.28,1.36,01,NV,drought
1968,-1.57,-1.49,01,NV,drought
1969,1.59,1.67,01,NV,drought
1970,-.07,0.01,01,NV,drought
1971,.66,0.74,01,NV,drought
1972,-.4,-0.32,01,NV,drought
1973,2.01,2.09,01,NV,drought
1974,.52,0.60,01,NV,drought
1975,.22,0.30,01,NV,drought
1976,-1.73,-1.65,01,NV,drought
1977,-2.18,-2.10,01,NV,drought
1978,.68,0.76,01,NV,drought
1979,3.18,3.26,01,NV,drought
1980,1.85,1.93,01,NV,drought
1981,-2.05,-1.97,01,NV,drought
1982,.66,0.74,01,NV,drought
1983,4.05,4.13,01,NV,drought
1984,7.4,7.48,01,NV,drought
1985,-.2,-0.12,01,NV,drought
1986,-.63,-0.55,01,NV,drought
1987,-1.59,-1.51,01,NV,drought
1988,1.44,1.52,01,NV,drought
1989,-1.19,-1.11,01,NV,drought
1990,-3.01,-2.93,01,NV,drought
1991,-4.04,-3.96,01,NV,drought
1992,-2.28,-2.20,01,NV,drought
1993,1.88,1.96,01,NV,drought
1994,-1.51,-1.43,01,NV,drought
1995,2.42,2.50,01,NV,drought
1996,-.68,-0.60,01,NV,drought
1997,2.5,2.58,01,NV,drought
1998,-.81,-0.73,01,NV,drought
1999,-.51,-0.43,01,NV,drought
2000,-2.83,-2.75,01,NV,drought
2001,-2.31,-2.23,01,NV,drought
2002,-3.08,-3.00,01,NV,drought
2003,-4.8,-4.72,01,NV,drought
2004,-2.81,-2.73,01,NV,drought
2005,3.25,3.33,01,NV,drought
2006,3.85,3.93,01,NV,drought
