year,value,anomaly,month,state,type
1895,1.61,1.28,01,UT,drought
1896,-.44,-0.77,01,UT,drought
1897,.33,0.00,01,UT,drought
1898,1.84,1.51,01,UT,drought
1899,-1.3,-1.63,01,UT,drought
1900,-1.24,-1.57,01,UT,drought
1901,-3.08,-3.41,01,UT,drought
1902,-3.12,-3.45,01,UT,drought
1903,.96,0.63,01,UT,drought
1904,-1.75,-2.08,01,UT,drought
1905,-1.76,-2.09,01,UT,drought
1906,1.74,1.41,01,UT,drought
1907,6.33,6.00,01,UT,drought
1908,3.44,3.11,01,UT,drought
1909,5.06,4.73,01,UT,drought
1910,5.71,5.38,01,UT,drought
1911,1.83,1.50,01,UT,drought
1912,-.87,-1.20,01,UT,drought
1913,2.04,1.71,01,UT,drought
1914,3.22,2.89,01,UT,drought
1915,1.63,1.30,01,UT,drought
1916,2.48,2.15,01,UT,drought
1917,3.4,3.07,01,UT,drought
1918,-1.84,-2.17,01,UT,drought
1919,-1.03,-1.36,01,UT,drought
1920,.61,0.28,01,UT,drought
1921,3.06,2.73,01,UT,drought
1922,2.56,2.23,01,UT,drought
1923,2.86,2.53,01,UT,drought
1924,-.68,-1.01,01,UT,drought
1925,-1.89,-2.22,01,UT,drought
1926,-1.03,-1.36,01,UT,drought
1927,.04,-0.29,01,UT,drought
1928,-.68,-1.01,01,UT,drought
1929,.54,0.21,01,UT,drought
1930,-1.25,-1.58,01,UT,drought
1931,-1.45,-1.78,01,UT,drought
1932,.83,0.50,01,UT,drought
1933,-.99,-1.32,01,UT,drought
1934,-2.32,-2.65,01,UT,drought
1935,-4.96,-5.29,01,UT,drought
1936,-2.57,-2.90,01,UT,drought
1937,.92,0.59,01,UT,drought
1938,-.96,-1.29,01,UT,drought
1939,-.15,-0.48,01,UT,drought
1940,-2.14,-2.47,01,UT,drought
1941,1.63,1.30,01,UT,drought
1942,5.7,5.37,01,UT,drought
1943,-.98,-1.31,01,UT,drought
1944,.35,0.02,01,UT,drought
1945,-1.91,-2.24,01,UT,drought
1946,-.34,-0.67,01,UT,drought
1947,3.01,2.68,01,UT,drought
1948,2.75,2.42,01,UT,drought
1949,2.04,1.71,01,UT,drought
1950,.61,0.28,01,UT,drought
1951,-2.51,-2.84,01,UT,drought
1952,2.5,2.17,01,UT,drought
1953,-1.33,-1.66,01,UT,drought
1954,-2.4,-2.73,01,UT,drought
1955,-2.9,-3.23,01,UT,drought
1956,-1.35,-1.68,01,UT,drought
1957,-3.06,-3.39,01,UT,drought
1958,3.33,3.00,01,UT,drought
1959,-2.74,-3.07,01,UT,drought
1960,-2.98,-3.31,01,UT,drought
1961,-3.69,-4.02,01,UT,drought
1962,1.27,0.94,01,UT,drought
1963,-2.52,-2.85,01,UT,drought
1964,-2.78,-3.11,01,UT,drought
1965,1.38,1.05,01,UT,drought
1966,4.86,4.53,01,UT,drought
1967,1.15,0.82,01,UT,drought
1968,-1.02,-1.35,01,UT,drought
1969,1.8,1.47,01,UT,drought
1970,-.67,-1.00,01,UT,drought
1971,-.25,-0.58,01,UT,drought
1972,-.22,-0.55,01,UT,drought
1973,3.38,3.05,01,UT,drought
1974,2.9,2.57,01,UT,drought
1975,-2.62,-2.95,01,UT,drought
1976,-1.25,-1.58,01,UT,drought
1977,-3.58,-3.91,01,UT,drought
1978,.63,0.30,01,UT,drought
1979,3.21,2.88,01,UT,drought
1980,1.53,1.20,01,UT,drought
1981,-1.73,-2.06,01,UT,drought
1982,1.6,1.27,01,UT,drought
1983,4.87,4.54,01,UT,drought
1984,6.64,6.31,01,UT,drought
1985,5.21,4.88,01,UT,drought
1986,3,2.67,01,UT,drought
1987,-1.14,-1.47,01,UT,drought
1988,.83,0.50,01,UT,drought
1989,-1.73,-2.06,01,UT,drought
1990,-4.49,-4.82,01,UT,drought
1991,-4.06,-4.39,01,UT,drought
